"crime","type"
"ABORTION/ILLEGAL","personal"
"ARSON","property"
"ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER","personal"
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","personal"
"ATTEMPTED ROBBERY","property"
"BATTERY - SIMPLE ASSAULT","personal"
"BATTERY FIREMAN","personal"
"BATTERY POLICE","personal"
"BATTERY WITH SEXUAL CONTACT","personal"
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM","other"
"BIGAMY","other"
"BIKE - ATTEMPTED STOLEN","property"
"BIKE - STOLEN","property"
"BOAT - STOLEN","property"
"BOMB SCARE","other"
"BRANDISH WEAPON","personal"
"BRIBERY","property"
"BUNCO, ATTEMPT","property"
"BUNCO, GRAND THEFT","property"
"BUNCO, PETTY THEFT","property"
"BURGLARY","property"
"BURGLARY FROM VEHICLE","property"
"BURGLARY FROM VEHICLE, ATTEMPTED","property"
"BURGLARY, ATTEMPTED","property"
"CHILD ABANDONMENT","personal"
"CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT","personal"
"CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT","personal"
"CHILD ENDANGERMENT/NEG.","personal"
"CHILD NEGLECT (SEE 300 W.I.C.)","personal"
"CHILD STEALING","personal"
"CHILD, CRIME AGAINST","personal"
"CONSPIRACY","other"
"CONTEMPT OF COURT","other"
"CONTRIBUTING","other"
"COUNTERFEIT","property"
"CREDIT CD > $200","property"
"CREDIT DD < $200","property"
"CRIMINAL HOMICIDE","personal"
"CRUELTY TO ANIMALS","other"
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER","property"
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400","property"
"DISCHARGE FIREARMS/SHOTS FIRED","personal"
"DISHONEST EMPLOYEE - GRAND THEFT","property"
"DISHONEST EMPLOYEE - PETTY THEFT","property"
"DISRUPT SCHOOL","other"
"DISTURBING THE PEACE","other"
"DOCUMENT FORGERY / STOLEN FELONY","property"
"DOCUMENT WORTHLESS > $100","property"
"DRIVING WITHOUT OWNER CONSENT (DWOC)","property"
"DRUGS, TO A MINOR","personal"
"DRUNK ROLL","property"
"EMBEZZLEMENT, GRAND","property"
"EMBEZZLEMENT, PETTY","property"
"EXTORTION","property"
"FAILURE TO DISPERSE","other"
"FAILURE TO YIELD","other"
"FALSE IMPRISONMENT","personal"
"FALSE POLICE REPORT","other"
"GRAND THEFT / AUTO REPAIR","property"
"HOMICIDE (NON-UCR)","personal"
"ILLEGAL DUMPING","property"
"INCITING A RIOT","other"
"INDECENT EXPOSURE","personal"
"KIDNAPPING","personal"
"KIDNAPPING - GRAND ATTEMPT","personal"
